Name;URL
Retro Hit;http://retro.volna.top/Retro
Sovetskaya Klassika (Russkoe radio);https://rr-sovclass.hostingradio.ru/sovclass96.aacp
Staroe Radio Muzyka;http://server.audiopedia.su:8000/music128
Likhiye 90-e (Russkoe radio);https://rr-90.hostingradio.ru/rr9096.aacp
Rodnye Nulevye (Russkoe radio);https://rr-00.hostingradio.ru/rr0096.aacp
Zvezdatye Desyatye (Russkoe radio);https://rr-10.hostingradio.ru/rr1096.aacp
Staroe Radio;http://server.audiopedia.su:8000/ices64
Cleansing 50's;http://hemnos.cdnstream.com/1464_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149511
Cleansing 70's;http://hemnos.cdnstream.com/1466_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149598
Cleansing 80's;http://hemnos.cdnstream.com/1467_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149641
Cleansing 90's;http://hemnos.cdnstream.com/1468_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149755
Beyond Words;http://hemnos.cdnstream.com/1469_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729149901
Cleansing Country;http://hemnos.cdnstream.com/1489_128?listenerId=98c6d16ce8c525113b7c96e49e5c0a2f&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1729150013

